Артикул;Основная категория товара;Наименование;Описание;Производитель;Артикул производителя;Цена (Розница);Цена (Опт);Можно купить;На складе;Время отгрузки;Размер/Цвет;Материал;Батарейки;Упаковка;Вес (брутто);Фотография маленькая до 150*150;Фотография 1;Фотография 2;Фотография 3;Фотография 4;Фотография 5
384;Смазки, лубриканты;Любрикант Wet Original Gel Lubricant - 103 мл.;Универсальный любрикант на водорастворимой основе с витамином Е. Незаменим при половом контакте, особенно в тех случаях, когда кожа половых органов склонна к аллергии или раздражению.;WET International;Wet Original Gel Lubricant 3,5oz;1119.00;589.08;0;0;3;;;;флакон;;http://feed.p5s.ru/images/small/0/small_384.jpg;http://feed.p5s.ru/images/big/0/384.jpg;;;;
397;Секс-товары для мужчин;Вагина и анус телесного цвета;Эта компактная «девочка» утолит вашу жажду плотских удовольствий. И для этого у неё есть всё необходимое – узенькая вагина и тугая попка.  Стоит вам проникнуть в любое из отверстий, чтобы член оказался внутри тоннеля с мягкими рёбрышками. Ускорив свои движения, вы приблизите момент взрывного оргазма.  Длина тоннеля - 15 см.;California Exotic Novelties;SE-0450-01-3;2453.00;1362.78;1;11;2;;Термопластичная резина (TPR);;картонная коробка;;http://feed.p5s.ru/images/small/0/small_397.jpg;http://feed.p5s.ru/images/big/0/397.jpg;http://feed.p5s.ru/images/big/0/397-1.jpg;http://feed.p5s.ru/images/big/0/397-2.jpg;http://feed.p5s.ru/images/big/0/397-3.jpg;http://feed.p5s.ru/images/big/0/397-4.jpg
428;Смазки, лубриканты;Пролонгирующий крем Men Stop-Stop - 18 мл.;Превосходное средство с охлаждающим эффектом, предупреждающее преждевременную эякуляцию, с деликатным запахом. Применяется только мужчиной  не снижая остроты ощущений уменьшает чувствительность головки, тем самым способствуя продлению полового акта до момента достижения оргазма партнершей.  Перед применением обязательно прочитайте инструкцию, приложенную к препарату.;Inverma;50400;1636.00;861.04;0;0;3;;;;туба;30;http://feed.p5s.ru/images/small/0/small_428.jpg;http://feed.p5s.ru/images/big/0/428.jpg;;;;
440;Секс-товары для мужчин;Насадка на пенис SEXUAL SAFARI;В отличие от прочих эрекционных колец, эта жёлтая насадка отличается двойным действием.  Она хорошо поддерживает эрекцию и удовлетворяет партнёршу анально при помощи эластичного ребристого фаллоимитатора.  Мало того, оно снабжено вибрирующим клиторальным стимулятором в форме львиной головы. А это и массаж клитора, и приятные вибрирующие ощущения в основании пениса!  Длина - 14,5 см. Диаметр - 3 см.;California Exotic Novelties;SE-1823-10-3;2717.00;1509.55;1;3;2;;силикон;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_440.jpg;http://feed.p5s.ru/images/big/0/440.jpg;http://feed.p5s.ru/images/big/0/440-1.jpg;;;
441;Секс-товары для мужчин;Набор из 7 насадок с различным рельефом;Набор насадок с различной формы шишечками и пупырышками. Одеваются под головку полового члена.;Doc Johnson;0840-01-BX;2262.00;1256.85;1;23;2;прозрачный;силикон;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_441.jpg;http://feed.p5s.ru/images/big/0/441.jpg;http://feed.p5s.ru/images/big/0/441-1.jpg;;;
442;Вибраторы;Реалистичный вибромассажер-ротатор на присоске с пультом управления - 22 см.;В вашей голове бурлят нескромные фантазии? Ваше лоно жаждет чувственного массажа? Этот вибратор, так сильно похожий на живую плоть, облегчит ваше состояние, подарив мощную сексуальную разрядку.  Его упругое вибрирующее тельце способно совместить скольжение внутри лона с вращением вокруг продольной оси.  Регулируя интенсивность последнего при помощи выносного пульта, вы с лёгкостью достигнете новых вершин наслаждения! Рабочая длина - 19,3 см.;Doc Johnson;1158-01-BX;6201.00;3543.50;1;3;2;телесный;поливинилхлорид (ПВХ, PVC);3 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_442.jpg;http://feed.p5s.ru/images/big/0/442.jpg;http://feed.p5s.ru/images/big/0/442-1.jpg;;;
444;Секс-товары для мужчин;Эластичная ребристая насадка-удлинитель рельефная;Эластичная ребристая насадка-удлинитель с мягкими шишечками и пупырышками для возбуждения стенок влагалища. Может использоваться как многоразовый презерватив, не только для удлинения полового члена, но и для удлинения вибратора или фаллоимитатора. Длина - 13,97 см. Диаметр - 3,18 см.;Pipedream;PD2400-20;997.00;524.70;0;0;3;;силикон;;блистер;;http://feed.p5s.ru/images/small/0/small_444.jpg;http://feed.p5s.ru/images/big/0/444.jpg;http://feed.p5s.ru/images/big/0/444-1.jpg;;;
486;Вибраторы;Вибромассажер-реалистик телесного цвета на присоске с пультом управления Vibrating REALISTIC Cock - 15,5 см.;Реалистичные формы, упругость, мощная мультискоростная вибрация, удобство использования… Всё это качества VIBRO REALISTIC – вибратора, способного открыть вам райское наслаждение!  Закрепите фаллос на твёрдой поверхности, например, стуле, и позвольте ему проникнуть в лоно до самой мошонки. Скольжение и трепет тельца заведут вас с пол-оборота, а затем доведут до пика блаженства! Длина - 15,5 см. Диаметр - 4 см. Пульт управления вибрацией выносной.;Doc Johnson;1156-01-BX;5684.00;3248.05;1;30;2;;латекс;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_486.jpg;http://feed.p5s.ru/images/big/0/486.jpg;http://feed.p5s.ru/images/big/0/486-1.jpg;http://feed.p5s.ru/images/big/0/486-2.jpg;;
487;Вибраторы;Вибромассажер реалистичной формы телесного цвета на присоске с пультом управления Vibro Realistic Cock - 18,5 см.;Этот вибромассажёр с удовольствием откликнется на зов вашей плоти: порадует вас чувственным массажем стеночек лона силой скольжения и мультискоростной вибрации.  Такие ласки доставят вам весь спектр приятных ощущений – от «ммм» до «о, даа»!  Присоска на основании позволит вам зафиксировать секс-игрушку на твёрдой поверхности и занять руки более полезным занятием – управлением вибрацией при помощи пульта. Длина от мошонки - 18,5 см. Диаметр - 4,5 см.;Doc Johnson;1156-02-BX;4543.00;2595.85;1;10;2;;латекс;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_487.jpg;http://feed.p5s.ru/images/big/0/487.jpg;http://feed.p5s.ru/images/big/0/487-1.jpg;http://feed.p5s.ru/images/big/0/487-2.jpg;;
509;Фаллоимитаторы;Фаллоимитатор Fabios Perfect Cock - 23,5 см.;Реалистичный фаллоимитатор с мошонкой. Имеет ярко выраженную головку и вены для большей стимуляции. Приятный на ощупь, не имеет швов. В основании имеется отличная присоска для удобного использования. В комплект входит присыпка для ухода за изделием;California Exotic Novelties;SE-0153-01-3;5991.00;3423.33;1;10;2;телесный;Термопластичный эластомер (TPE);;картонная коробка;;http://feed.p5s.ru/images/small/0/small_509.jpg;http://feed.p5s.ru/images/big/0/509.jpg;http://feed.p5s.ru/images/big/0/509-1.jpg;http://feed.p5s.ru/images/big/0/509-2.jpg;http://feed.p5s.ru/images/big/0/509-3.jpg;
514;Анальные игрушки;Анальная пробка-вибратор с выносным пультом управления вибрацией - 12 см.;С этой анальной пробкой вы сможете испытать все прелести анального секса. Продолговатая пробка с гладкой головкой без труда проникнет в анус, вызывая тем самым приятное чувство полноты.  Благодаря вибрации все приятные ощущения усилятся в разы, а мышцы ануса начнут сжиматься, заставляя пробку проникать всё дальше и глубже. Чтобы блаженство было более полным, стоит увеличить пробку в объеме с помощью груши.  Пробка-вибратор – показана как опытным, так и начинающим поклонникам анальных ласк. Максимальный диаметр - 6,5 см.;Seven Creations;7199PM ACHBX GP;1258.00;662.06;1;8;2;телесный;латекс;2 шт., тип AA;картонная коробка;243;http://feed.p5s.ru/images/small/0/small_514.jpg;http://feed.p5s.ru/images/big/0/514.jpg;http://feed.p5s.ru/images/big/0/514-1.jpg;;;
515;Страпоны, фаллопротезы;Трусики со штырьком для фиксации насадок-фаллопротезов Harness vac-u-lock;Перед вами - инструмент наслаждения, по крайней мере, главная его часть.  С этими трусиками с прорезью, надеть которые может как женщина, так и мужчина, вам доступны самые чувственные ласки!   И для этого необходимо лишь закрепить на штырьке любую из насадок Harness (приобретаются отдельно).;Doc Johnson;1010-02-BX;3064.00;1702.40;1;30;2;;искусственная кожа;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_515.jpg;http://feed.p5s.ru/images/big/0/515.jpg;http://feed.p5s.ru/images/big/0/515-1.jpg;http://feed.p5s.ru/images/big/0/515-2.jpg;;
516;Страпоны, фаллопротезы;Кожаные трусики унисекс со штырьком для фиксации насадок-фаллопротезов Harness, Vac-u-lock;Эти кожаные трусики-унисекс – всё что нужно парам, чтобы начать экспериментировать с насадками-фаллопротезами harness.  Они одинаково хорошо сядут как на мужчину, так и на женщину, поскольку все ремни регулируются. Специально для мужчин ниже штырька находится вырез для пениса.  Надели? Комфортно? Осталось лишь защелкнуть насадку и начать пользоваться!  Внешний диаметр штырька - 1,8-2,8  см. Объем талии - 76-100 см.;Doc Johnson;1010-06-BX;5523.00;3155.90;1;30;2;;натуральная кожа;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_516.jpg;http://feed.p5s.ru/images/big/0/516.jpg;http://feed.p5s.ru/images/big/0/516-1.jpg;http://feed.p5s.ru/images/big/0/516-2.jpg;http://feed.p5s.ru/images/big/0/516-3.jpg;http://feed.p5s.ru/images/big/0/516-4.jpg
517;Страпоны, фаллопротезы;Анально-вагинальная вибронасадка Harness Vac-U-Lock - 16,5 см.;Эта насадка, подходящая к трусикам Harness, откроет вам все прелести двойного проникновения.  И для этого достаточно закрепить её на трусиках партнёрши или просто погрузить фаллосы внутрь своего тела – крупный в лоно, а второй - в попку.  Насладитесь скольжением отростков и потрясающим чувством наполненности. Почувствуйте возбуждающий ритм вибрации, регулировать которую можно при помощи выносного пульта.  Бархатистая поверхность секс-игрушки, впечатляющие объемы, пленительный рельеф… Оргазм не заставит себя ждать! Длина двух фаллосов - 16,5 см. Диаметр вагинального - 3,5 см, анального - 2,5 см.;Doc Johnson;1015-05-BX;2505.00;1391.75;1;6;2;;латекс;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_517.jpg;http://feed.p5s.ru/images/big/0/517.jpg;http://feed.p5s.ru/images/big/0/517-1.jpg;http://feed.p5s.ru/images/big/0/517-2.jpg;;
519;Страпоны, фаллопротезы;Черная реалистичная насадка Harness Vac-U-Lock - 15 см.;С этим чёрным «мужчиной» вам вновь откроются двери в мир сексуального удовлетворения.  Погружаясь в лоно так чувственно и глубоко, фаллос вновь и вновь будет дарить вам наслаждение от вагинальной стимуляции.  Насадку можно использовать самостоятельно либо в паре с трусиками Harness (приобретаются отдельно).  Получившийся страпон поможет вам внести разнообразие в сексуальную жизнь, а также получить ещё больше удовольствия! Длина с мошонкой 17,5 см, диаметр 4 см.;Doc Johnson;1015-10-BX;4223.00;2413.00;1;6;2;;поливинилхлорид (ПВХ, PVC);;картонная коробка;556;http://feed.p5s.ru/images/small/0/small_519.jpg;http://feed.p5s.ru/images/big/0/519.jpg;http://feed.p5s.ru/images/big/0/519-1.jpg;http://feed.p5s.ru/images/big/0/519-2.jpg;http://feed.p5s.ru/images/big/0/519-3.jpg;http://feed.p5s.ru/images/big/0/519-4.jpg
521;Страпоны, фаллопротезы;Конг - насадка-фаллопротез Harness KONG, Val-u-lock - 23 см.;Этот фаллос с волосками на мошонке не зря носит имя Конга. Он, как и положено гигантам, крепок и способен подарить сильные сексуальные переживания!  Насадка, совместимая с любыми трусиками Harness(приобретаются отдельно), готова максимально заполнять собой лоно, чувственно раздвигать стеночки, а также настойчиво дразнить вас скольжением.  Конг – ваш любимый великан!  Этот крупный тяжелый рельефный пенис украшен волосками. Очень достойный агрегат! Насадка-фаллопротез Harness.  Полная длина: 23 см. Используемая длина: 20 см. Диаметр: 6 см.;Doc Johnson;1015-17-BX;4320.00;2468.48;1;6;2;;латекс;;картонная коробка;594;http://feed.p5s.ru/images/small/0/small_521.jpg;http://feed.p5s.ru/images/big/0/521.jpg;http://feed.p5s.ru/images/big/0/521-1.jpg;http://feed.p5s.ru/images/big/0/521-2.jpg;http://feed.p5s.ru/images/big/0/521-3.jpg;http://feed.p5s.ru/images/big/0/521-4.jpg
522;Страпоны, фаллопротезы;Реалистичная насадка-фаллопротез Harness - юношеская эрекция - 18,5 см.;Этот реалистичный фаллос с юношеской эрекцией и поджатой мошонкой может подарить море наслаждения каждой женщине.  Стоит ввести его в лоно, чтобы голова распухла от нескромных фантазий, а кровь закипела от возбуждения.  Закрепив насадку на трусиках Harness (приобретаются отдельно), вы можете использовать получившийся страпон для удовлетворения своей сексуальной партнёрши – будет жарко! Длина - 18,5 см. Диаметр - 3,6 см.;Doc Johnson;1015-18-BX;3230.00;1794.25;1;10;2;;латекс;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_522.jpg;http://feed.p5s.ru/images/big/0/522.jpg;http://feed.p5s.ru/images/big/0/522-1.jpg;http://feed.p5s.ru/images/big/0/522-2.jpg;http://feed.p5s.ru/images/big/0/522-3.jpg;http://feed.p5s.ru/images/big/0/522-4.jpg
523;Страпоны, фаллопротезы;Тонкая реалистичная вагинально-анальная насадка Harness - 18,5 см.;Этот фаллос, способный фиксироваться на трусиках Harness, реалистичен настолько, что просто дух захватывает – не отличить от «живого» собрата!  Мяконький на ощупь, упругий, с венками и розовой головкой, он способен погружаться в лоно чувственно и нежно - с каждым разом на вас будет накатывать девятый вал наслаждения.  Небольшой диаметр позволяет использовать насадку и для глубокой анальной стимуляции. Длина до мошонки 17 см, полная - 18,5 см. Диаметр 3.5 см.;Doc Johnson;1015-19-BX;3987.00;2345.00;0;0;3;;латекс;;картонная коробка;427;http://feed.p5s.ru/images/small/0/small_523.jpg;http://feed.p5s.ru/images/big/0/523.jpg;http://feed.p5s.ru/images/big/0/523-1.jpg;http://feed.p5s.ru/images/big/0/523-2.jpg;http://feed.p5s.ru/images/big/0/523-3.jpg;http://feed.p5s.ru/images/big/0/523-4.jpg
524;Страпоны, фаллопротезы;Набор Harness: фаллопротез с трусиками - 19 см.;Этот страпон поможет вам с партнёром (или  с партнёршей) разнообразить сексуальные игрища в спальне.   Стоит зафиксировать трусики на бёдрах при помощи регулируемых ремешков, чтобы треугольник внизу живота был увенчан крупным и рельефным фаллосом завидной твёрдости!  Мужчина может использовать страпон как для двойного проникновения, так и для ласк партнёрши в моменты ослабления эрекции. В обоих случаях собственный член следует продеть сквозь вырез ниже насадки.  Женщине же страпон сослужит добрую службу в моменты, когда хочется взять на себя в сексе ведущую роль. Длина насадки 19 см, диаметр 3,8 см.;Doc Johnson;1050-01-BX;4873.00;2784.45;1;30;2;;искусственная кожа, латекс;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_524.jpg;http://feed.p5s.ru/images/big/0/524.jpg;http://feed.p5s.ru/images/big/0/524-1.jpg;http://feed.p5s.ru/images/big/0/524-2.jpg;http://feed.p5s.ru/images/big/0/524-3.jpg;
525;Страпоны, фаллопротезы;Насадка с трусиками HARNESS SET №2 - 16 см.;Страпон, состоящий из трусиков-унисекс со штырьком и насадки-фаллоса, - идеальное решение для пар, решивших привнести в интимную близость элемент новизны.  Мужчина, затянув трусики на бёдрах и продев свой пенис в вырез ниже насадки, сможет порадовать партнёршу как двойным проникновением, так и долгой вагинальной стимуляцией.  Женщина, проделав почти то же самое (у неё ведь нет пениса), примерит на себя роль секс-лидера, а также будет в состоянии подарить анальные/вагинальные ласки пассивному партнёру/партнёрше.;Doc Johnson;1050-02-BX;5961.00;3406.16;1;10;2;телесный;латекс;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_525.jpg;http://feed.p5s.ru/images/big/0/525.jpg;http://feed.p5s.ru/images/big/0/525-1.jpg;http://feed.p5s.ru/images/big/0/525-2.jpg;http://feed.p5s.ru/images/big/0/525-3.jpg;
526;Страпоны, фаллопротезы;Страпон Harness SET №5 с вибрацией - 19 см.;Этот страпон-унисекс поможет вашей паре сделать немало секс-открытий. Благодаря ему вы можете неистово ласкать друг друга, меняться ролями и блаженствовать часами!  Закрепив трусики на бёдрах, вам остаётся лишь защёлкнуть насадку-фаллос Harness на штырьке, а затем включить вибрацию при помощи выносного пульта.  Проникновение испещрённого надутыми венками пениса в вагину/анус подарит сильные эмоции и яркую сексуальную разрядку!;Doc Johnson;1050-05-BX;2401.00;1334.00;0;0;3;;латекс;2 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_526.jpg;http://feed.p5s.ru/images/big/0/526.jpg;http://feed.p5s.ru/images/big/0/526-1.jpg;http://feed.p5s.ru/images/big/0/526-2.jpg;;
530;Страпоны, фаллопротезы;Женские трусики с двумя фаллопротезами и с двумя вибраторами;Удовольствие для двоих - женские трусики с двумя вибрирующими фаллопротезами. Это одна из самых удобных моделей фаллоимитаторов-вибраторов, предназначенная как для лесбийского секса, так и для женского доминирования. Фаллопротез надежно удерживается внутри влагалища, поэтому Вы можете принимать любую позу, какую бы ни подсказала Вам Ваша фантазия, существенно расширяя границы приятных ощущений как Ваших, так и Ваших партнеров. Оба фаллоимитатора снабжены отдельными вибраторами, каждый имеет свой пульт управления.  Внешний фаллоимитатор: длина 14.5 см, диаметр 1,8-3,3 см. Внутренний фаллоимитатор: длина 8,5 см,  диаметр 2,8-3,2 см.;Pipedream;PD3351-20;4959.00;2833.60;1;1;2;;искусственная кожа, латекс;4 шт., тип AA;картонная коробка;359;http://feed.p5s.ru/images/small/0/small_530.jpg;http://feed.p5s.ru/images/big/0/530.jpg;http://feed.p5s.ru/images/big/0/530-1.jpg;http://feed.p5s.ru/images/big/0/530-2.jpg;;
539;Секс-товары для мужчин;Набор из двух рельефных насадок SENSO-SLEEVES;Имея этот комплект силиконовых насадок, будьте готовы к тому, что ваша партнёрша станет чаще проявлять своё желание и манить вас в постель.  Всё потому, что каждая из насадок – что с маленькими шипами, что с крупными – способна усилить сексуальное удовольствие. За счет более чувственного массажа стенок лона, конечно же!  Набор из двух насадок на пенис с многочисленными мягкими ребрышками, пупырышками и усиками для усиления ощущений у партнерши. Может использоваться как многоразовый презерватив, не только для полового члена, но и для вибратора или фаллоимитатора. Длина каждой насадки - 12,3 см.;California Exotic Novelties;SE-1601-00-2;996.00;497.80;1;30;2;;силикон;;блистер;58;http://feed.p5s.ru/images/small/0/small_539.jpg;http://feed.p5s.ru/images/big/0/539.jpg;http://feed.p5s.ru/images/big/0/539-1.jpg;http://feed.p5s.ru/images/big/0/539-2.jpg;http://feed.p5s.ru/images/big/0/539-3.jpg;
540;Секс-товары для мужчин;Рельефная силиконовая насадка-расширитель;Невероятно нежная и эластичная насадка их медицинского силикона плотно обхватит ваш член, увеличив его в диаметре ближе к основанию.  Рёбрышки сбоку подарят женщине экстрасильную стимуляцию стеночек лона, ну а вам – славу лучшего любовника!  Длина - 7,5 см.;California Exotic Novelties;SE-1605-00-2;1301.00;684.84;0;0;3;;силикон;;блистер;;http://feed.p5s.ru/images/small/0/small_540.jpg;http://feed.p5s.ru/images/big/0/540.jpg;http://feed.p5s.ru/images/big/0/540-1.jpg;http://feed.p5s.ru/images/big/0/540-2.jpg;http://feed.p5s.ru/images/big/0/540-3.jpg;
604;Фаллоимитаторы;Рельефный фаллоимитатор из UR3 без мошонки - 20,5 см.;Дилдо, которому будет позволено войти в ваше святая святых, должен быть самым лучшим, правда? И нежным на ощупь, и безопасным для здоровья, и восхитительно рельефным.  Если так, вы нашли то, что искали. Этот красивый фаллоимитатор из UR3 с упругими венками и гладенькой розовой головкой отвечает всем вышеназванным критериям.  А ещё он в два счёта оправдает даже самые смелые ваши ожидания, поверьте!;Doc Johnson;0279-09-CD;2376.00;1320.03;1;30;2;;UR3;;блистер;343;http://feed.p5s.ru/images/small/0/small_604.jpg;http://feed.p5s.ru/images/big/0/604.jpg;http://feed.p5s.ru/images/big/0/604-1.jpg;;;
606;Фаллоимитаторы;Рельефный фаллоимитатор с мошонкой из UR3 - 19 см.;Довести вас до мощного, всепоглощающего оргазма… Что же, такому красивому фаллоимитатору это под силу!  Только взгляните, насколько высок его потенциал. Большое упругое тельце, бархатистая поверхность, хитросплетение напряжённых вен, мяконькая розовая головка и пышная мошонка… Спорим, уже завелись?    Длина - 19 см. Диаметр - 3,5 см.;Doc Johnson;0279-11-CD;2376.00;1320.03;1;30;2;;UR3;;блистер;;http://feed.p5s.ru/images/small/0/small_606.jpg;http://feed.p5s.ru/images/big/0/606.jpg;http://feed.p5s.ru/images/big/0/606-1.jpg;;;
623;BDSM, садо-мазо товары;Зажим на половые губы CLEOPATRA цвета аквамарин;Вход в святая святых женского тела всегда притягивает взгляд мужчин. Если на вас это аквамариновое украшение, особое внимание к вашим прелестям гарантировано!  Напряженный клитор, сжатый в тиски… А под ним – два ряда ярких бусин, танцующих при каждом вашем движении.  Возбуждающая картинка, правда? На зажиме две нитки по 4 бусинки диаметром 0,4 см каждая.;California Exotic Novelties;SE-2621-12-2;624.00;312.00;0;0;3;;металл;;блистер;29;http://feed.p5s.ru/images/small/0/small_623.jpg;http://feed.p5s.ru/images/big/0/623.jpg;http://feed.p5s.ru/images/big/0/623-1.jpg;;;
633;Вибраторы;Фиолетовый вибратор с вращающимися металлическими шариками;Достигнуть оргазма с этим вибратором – дело времени. А всё потому, что в его конструкции всё продумано с особой тщательностью. Так, чтобы подарить женщине действительно яркую стимуляцию эрогенных зон.  В тельце гладкого, приятного на ощупь вибромассажёра встроена прозрачная колба, в которой при включении любого из 6 режимов начинаются вращаться ряды металлических шариков.  Маленький коготок на основании –стимулятор, дарящий сладкий массаж клитора. Мощная вибрация отростка – от простой до пульсирующей – приблизит момент сексуальной разрядки.;Seven Creations;2K467CLV-7 BCD;4666.00;2666.29;1;1;2;фиолетовый;поливинилхлорид (ПВХ, PVC);4 шт., тип AA;блистер;;http://feed.p5s.ru/images/small/0/small_633.jpg;http://feed.p5s.ru/images/big/0/633.jpg;http://feed.p5s.ru/images/big/0/633-1.jpg;;;
638;Вибраторы;Розовый вибромассажёр с металлическими шариками - 17 см.;Достигнуть оргазма с этим многофункциональным вибромассажёром – плёвое дело. А всё потому, что в нём есть всё для яркой стимуляции эрогенных зон женщины.  В тельце гладкого, приятного на ощупь вибратора имеется прозрачная колба, в которой при включении любого из 6 режимов начинаются вращаться металлические шарики.  Маленький зайчик на основании – не что иное, как клиторальный стимулятор. Мощная вибрация отростка – от простой до пульсирующей – приблизит момент яркой разрядки.;Seven Creations;2K466CPR-7 BCD;2978.00;1654.19;1;6;2;розовый;поливинилхлорид (ПВХ, PVC);4 шт., тип AA;блистер;;http://feed.p5s.ru/images/small/0/small_638.jpg;http://feed.p5s.ru/images/big/0/638.jpg;http://feed.p5s.ru/images/big/0/638-1.jpg;;;
639;Секс-товары для мужчин;Девственная вульва с переминанием;Как вы смотрите на то, чтобы быть у этой девочки первым? Она готова отдаться вам, о, первопроходец. Лишите её девственности, резко (или медленно, если вам так хочется) войдя в тугой тоннель любви.  Его покрывают нежные шишечки и пересекают упругие рёбрышки. Мало того, всё это неистово вибрирует. Регулируйте вибрацию с помощью выносного пульта управления и наслаждайтесь близостью на все 100 %! Длина - 23 см. Диаметр - 3 см.;Gopaldas;97112 ACHBX GP;1906.00;1058.68;1;34;2;;Термопластичная резина (TPR);4 шт., тип AA;картонная коробка;;http://feed.p5s.ru/images/small/0/small_639.jpg;http://feed.p5s.ru/images/big/0/639.jpg;;;;
649;Секс-товары для мужчин;Вакуумная помпа с большой колбой X Factor;Вакуумная помпа-массажер с колбой большого размера и удобным насосным механизмом для откачки воздуха. В комплект входят три сменных уплотнителя.  Длина колбы - 30 см. Диаметр - 6,5 см.;Gopaldas;2K220-3 BX GP;3162.00;1756.75;1;80;2;;пластик, силикон;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_649.jpg;http://feed.p5s.ru/images/big/0/649.jpg;;;;
653;Секс-товары для мужчин;Вакуумная помпа для мужчин;Простейший вакуумный массажер-помпа для мужчин. Создает хорошую степень разряжения в колбе за счет удобного ручного механизма выкачивания воздуха. Длина колбы 19 см. диаметр 5 см. Диаметр уплотнительного кольца 2,5 см.;Gopaldas;ACH310 ACHBX GP;1719.00;904.51;1;235;2;;анодированный пластик (ABS);;картонная коробка;271;http://feed.p5s.ru/images/small/0/small_653.jpg;http://feed.p5s.ru/images/big/0/653.jpg;;;;
655;Страпоны, фаллопротезы;Насадка-фаллос телесного цвета - 16,3 см.;У этой реалистичной секс-игрушки такой потенциал! С одной стороны, это фаллоимитатор, способный покорить любую своей упругостью и формами. С другой, это всё же насадка, которую можно без усилий надёжно зафиксировать на плуге специальных трусиков (продаются отдельно).  Дилдо или, в паре с трусиками Harness, страпон - решать лишь вам!;Сумерки богов;203-02 BX DD;875.00;437.39;1;3;1;;ПВХ-силикон;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_655.jpg;http://feed.p5s.ru/images/big/0/655.jpg;http://feed.p5s.ru/images/big/0/655-1.jpg;http://feed.p5s.ru/images/big/0/655-2.jpg;;
656;Страпоны, фаллопротезы;Насадка-фаллос телесного цвета - 17 см.;Нежно-розовая и чётко очерченная головка, упругое тельце с напряжёнными венками… Одного взгляда на эту секс-игрушку достаточно, чтобы в голове пронеслись сотни сексуальных фантазий!  С этой реалистичной насадкой можно часами наслаждаться вагинальными ласками. Если же насадить её на плуг трусиков Harness (продаются отдельно), получится страпон, а значит, и новые варианты сексуальных игр.;Сумерки богов;203-05 BX DD;880.00;440.00;1;1;1;;ПВХ-силикон;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_656.jpg;http://feed.p5s.ru/images/big/0/656.jpg;http://feed.p5s.ru/images/big/0/656-1.jpg;http://feed.p5s.ru/images/big/0/656-2.jpg;http://feed.p5s.ru/images/big/0/656-3.jpg;
662;Анальные игрушки;Розовая анальная пробка с выносным пультом - 14 см.;Чтобы расслабить мышцы ануса, а также насладиться массажем стенок, достаточно лишь аккуратно ввести эту пробку в попку. Погружение будет чувственным, ведь кончик такой маленький, а поверхность – такая гладкая.  Плюс ко всему, многоскоростная вибрация, управлять которой можно с пульта управления, способствует расслаблению и скорейшему получению оргазма.  Минимальный диаметр - 1,5 см.;Seven Creations;2K322SCPR BCD GP;1131.00;595.51;1;3;2;розовый;поливинилхлорид (ПВХ, PVC);2 шт., тип AA;блистер;268;http://feed.p5s.ru/images/small/0/small_662.jpg;http://feed.p5s.ru/images/big/0/662.jpg;http://feed.p5s.ru/images/big/0/662-1.jpg;;;
663;Анальные игрушки;Двухсторонний анальный стимулятор с вибрацией - 31 см.;Этот упругий и приятный на ощупь стимулятор подарит истинное наслаждение при анальном проникновении. С одной стороны он представляет собой ёлочку. Чем глубже она будет проникать в анус, тем более сильные ощущения подарит вам.  Вторая сторона -  вытянутая пробка с заостренным кончиком, которая, проникнув в анус, позволит вам испытать чувство наполненности.  В  центр двустороннего стимулятора вставляется мощная вибропулька, вибрация которой распространяется п всей длине секс-игрушки и усиливает наслаждение. Съемный виброэлемент можно использовать для ласк клитора и сосков.  Длина пробки - 12 см., диаметр - 3,5 см. Длина елочки - 14,5 см., диаметр - 2 см.;Seven Creations;2K299VCPR BCD GP;1504.00;791.36;1;55;2;розовый;силикон;2 шт., тип AA;блистер;;http://feed.p5s.ru/images/small/0/small_663.jpg;http://feed.p5s.ru/images/big/0/663.jpg;http://feed.p5s.ru/images/big/0/663-1.jpg;;;
665;Анальные игрушки;Розовая анальная цепочка с вибратором anovibe+;Анальный стимулятор в виде шариков на жесткой сцепке с вибратором из плотного силикона. Водонепроницаемый волшебник. Диаметр шариков постепенно увеличивается к основанию. Используется для усиления чувствительности и возбуждения ануса. Встроенный пульт управления вибрацией. Длина - 12 см. Минимальный диаметр - 1 см. Максимальный диаметр - 2 см.;Gopaldas;2K103VPR BX;711.00;338.58;0;0;3;;пластик;;картонная коробка;101;http://feed.p5s.ru/images/small/0/small_665.jpg;http://feed.p5s.ru/images/big/0/665.jpg;;;;
