Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
1230;1160.00;610.76;0;0;3;;RUB;RUB
1231;1310.00;689.50;1;11;2;;RUB;RUB
1238;1329.00;699.37;1;8;2;;RUB;RUB
1242;1558.00;820.23;0;0;3;;RUB;RUB
1252;2979.00;1654.90;0;0;3;;RUB;RUB
1275;3052.00;1695.72;0;0;3;;RUB;RUB
1280;2953.00;1640.43;0;0;3;;RUB;RUB
1303;451.00;167.00;1;10;1;розовый;RUB;RUB
1304;451.00;167.00;1;7;1;розовый;RUB;RUB
1305;471.00;174.60;1;4;2;розовый;RUB;RUB
1307;481.00;178.09;1;3;2;розовый;RUB;RUB
1309;451.00;167.00;1;4;1;розовый;RUB;RUB
1310;471.00;174.60;1;3;2;розовый;RUB;RUB
1312;451.00;167.00;1;1;1;розовый;RUB;RUB
1313;471.00;174.60;1;5;2;розовый;RUB;RUB
1314;451.00;167.00;1;4;1;розовый;RUB;RUB
1315;451.00;167.00;1;6;1;розовый;RUB;RUB
1316;451.00;167.00;1;1;1;розовый;RUB;RUB
