Артикул;"Основная категория товара";"Подраздел категории товара";Наименование;Описание;Производитель;"Артикул производителя";"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер;Цвет;aID;Материал;Батарейки;Упаковка;"Вес (брутто)";"Фотография маленькая до 150*150";"Фотография 1";"Фотография 2";"Фотография 3";"Фотография 4";"Фотография 5";Штрихкод
80;Вибраторы;Реалистики;"Фаллоимитатор KONG на присоске c вибратором и пультом управления";"С таким крупным вибратором просто невозможно испытать толику удовольствия. Наслаждению – быть, причём максимальному!  Упругий фаллос способен заполнить собой лоно так чувственно, воздействовать на каждую его клеточку мультискоростной вибрацией и нежным скольжением.  Благодаря присоске на основании и выносному пульту управления позициям для секса с Конгом не будет числа! Длина от основания - 21 см. Диаметр - 5,5 см.";"Doc Johnson";0273-02-BX;6509.00;3719.56;0;0;3;;;84;латекс;"2 шт., тип AA";"картонная коробка";721;http://feed.p5s.ru/images/small/0/small_80.jpg;http://feed.p5s.ru/images/big/0/80.jpg;http://feed.p5s.ru/images/big/0/80-1.jpg;http://feed.p5s.ru/images/big/0/80-2.jpg;;;782421122607
83;Вибраторы;Реалистики;"Реалистичный гигант на присоске с пультом управления вибрацией JEFF STRYKER - 26 см.";"Эта секс-игрушка представляет собой точную копию напряжённой плоти Джеффа Страйкера – известнейшего американского актёра  ХХХ-фильмов.  Упругий фаллос немалых размеров способен подарить вам максимальное наслаждение при вагинальной стимуляции.  Всё, что вам нужно для блаженного секса с Джеффом, - зафиксировать игрушку на жёсткой поверхности и включить мультискоростную вибрацию при помощи выносного пульта управления! Длина - 26 см Максимальный диаметр - 6 см. В комплекте чехол для хранения изделия и фото звезды с автографом.";"Doc Johnson";1159-02-BX;6692.00;3824.13;1;8;2;;;87;латекс;"2 шт., тип AA";"картонная коробка";;http://feed.p5s.ru/images/small/0/small_83.jpg;http://feed.p5s.ru/images/big/0/83.jpg;http://feed.p5s.ru/images/big/0/83-1.jpg;http://feed.p5s.ru/images/big/0/83-2.jpg;http://feed.p5s.ru/images/big/0/83-3.jpg;;782421167707
86;"BDSM, садо-мазо товары";"Интимные украшения";"Серебристые колечки для сосков FETISH FANTASY";"Колечки-клипсы – это не только красивое украшение, но и предмет, приумножающий вашу сексуальность. К вашим соскам в сладостном плену колец так и хочется прикоснуться языком и губами!  Ношение клипс принесёт вам удовольствие. Всё это благодаря кончикам с шариками, сдавливающим грудь – чем не чувственная стимуляция? ";Pipedream;PD3603-26;719.00;359.37;1;11;2;;серебро;90;металл;;блистер;;http://feed.p5s.ru/images/small/0/small_86.jpg;http://feed.p5s.ru/images/big/0/86.jpg;http://feed.p5s.ru/images/big/0/86-1.jpg;;;;603912138184
91;"BDSM, садо-мазо товары";"Интимные украшения";"Клипсы на грудь Japanese Clover Clamps";"Зажимы на грудь сложной конструкции с тонкими канатиками. ";Pipedream;PD3605-02;1515.00;797.30;1;11;2;;;95;металл;;блистер;;http://feed.p5s.ru/images/small/0/small_91.jpg;http://feed.p5s.ru/images/big/0/91.jpg;http://feed.p5s.ru/images/big/0/91-1.jpg;http://feed.p5s.ru/images/big/0/91-2.jpg;;;603912112375
96;Вибраторы;Классические;"Вибромассажер с тремя степенями вибрации iVibe Rabbit Strawberry";"Скажите «нет» сексуальной неудовлетворённости, выбрав этот яркий вибромассажёр с клиторальным стимулятором-коготком!  Погружая его в лоно, вы с лёгкостью достигнете мощной разрядки. Виной тому послужит как клиторальный массаж и восьмискоростная вибрация упругого тельца, так и вращение скрытых внутри бусинок.  Благодаря водонепроницаемости секс-забавы с ротатором можно перенести за пределы спальни, например, в душ или сауну.  Три степени вибрации и вращения шариков, супер современный пульт управления вибрацией. В рабочем состоянии происходит одновременное вращение головки, перемещение бусинок-шариков по оси вращения и вибрация, что позволяет женщине быстрее достичь оргазма, так как стимулируются участки, в которых находится наибольшее скопление нервных окончаний (быстровозбудимые эрогенные зоны) - это клитор (клиторальный вибратор), первые 5 см влагалища (перемещение шариков внутри тела фаллоимитатора) и G-точка (вращение головки).  Вибромассажер оснащен встроенным пультом управления, с помощью которого можно включать, выключать и регулировать мощность ротации (вращательных движений) и движения бусин, регулировать сочетание направления ротации и направления вибрации клиторального стимулятора и частоту вибрации клиторального стимулятора. Длина (полная) - 26 см. Диаметр - 3.5 см.";"Doc Johnson";6001-01-BX;9626.00;6210.15;0;0;3;;;100;силикон;"4 шт., тип AA";"пластиковая коробка";;http://feed.p5s.ru/images/small/0/small_96.jpg;http://feed.p5s.ru/images/big/0/96.jpg;http://feed.p5s.ru/images/big/0/96-1.jpg;;;;782421490508
101;"BDSM, садо-мазо товары";"Интимные украшения";"Клипсы-колечки с голубой бусинкой на соски";"Клипсы-колечки с украшением на соски из светлого металла серебристого цвета с голубым камнем. Не требуют прокалывания. ";"California Exotic Novelties";SE-2634-05-2;648.00;287.79;0;0;3;;;105;металл;;блистер;;http://feed.p5s.ru/images/small/0/small_101.jpg;http://feed.p5s.ru/images/big/0/101.jpg;;;;;716770017147
122;"Анальные игрушки";"Анальные шарики, цепочки";"Анальные бусы  Хвост Дракона ";"Анальные бусы «Хвост дракона» - это лучшее средство для того чтобы «разогреть» попку как следует перед анальным проникновением.  Погружая анальные бусы глубже в анус, вы заполняете его шариками всё больших размеров. Всего их 10, и каждый из них оставит свой чувственный след внутри тела – удержать стоны не удастся.  Чтобы анальными бусами «Хвост дракона» было удобно управлять, на конце имеется небольшое колечко. Длина - 25 см. Максимальный диаметр - 2,7 см. Минимальный диаметр - 1 см. Анальные бусы  Хвост дракона  наш бестселлер!";Gopaldas;"2K79LV BCD GP";532.00;236.47;0;0;3;;фиолетовый;126;силикон;;блистер;101;http://feed.p5s.ru/images/small/0/small_122.jpg;http://feed.p5s.ru/images/big/0/122.jpg;;;;;4890888211898
124;"Анальные игрушки";"Анальные шарики, цепочки";"Цепочка из пяти золотистых анальных шариков";"Вам хочется желать анального секса так, словно от этого зависит ваша жизнь? Эти шарики на мягкой сцепке, отливающие золотом, помогут вам возбудиться по максимуму.  Проникая всё глубже в анус, они воздействуют на скрытые в нём нервные окончания – вас начинает потряхивать от возбуждения и нахлынувшего удовольствия. Если же вытягивать их медленно-медленно, наслаждение накроет вас с головой. ";"Seven Creations";"123QG BX GP";290.00;96.80;1;1;1;;золото;128;акрил;;"пластиковая коробка";24;http://feed.p5s.ru/images/small/0/small_124.jpg;http://feed.p5s.ru/images/big/0/124.jpg;http://feed.p5s.ru/images/big/0/124-1.jpg;http://feed.p5s.ru/images/big/0/124-2.jpg;;;4890888012334
125;"Анальные игрушки";"Анальные пробки";"Силиконовая анальная пробка из нежного материала - 11 см.";"Анальная пробка из нежного материала идеальна для начинающих учеников анального секса, позволяет растягивать анальный вход незаметно для окружающих.   Классическая анальная пробка, с подошвой ограничителем. Предназначена для разработки мышц ануса перед контактом, а так же для усиления чувствительности влагалищных стенок и пениса при вагинальном контакте.  ";Gopaldas;"8199SJPR BCD GP";649.00;324.29;1;230;2;;розовый;129;"поливинилхлорид (ПВХ, PVC)";;блистер;81;http://feed.p5s.ru/images/small/0/small_125.jpg;http://feed.p5s.ru/images/big/0/125.jpg;;;;;4890888819964
128;"Анальные игрушки";"Анальные шарики, цепочки";"Фиолетовые анальные бусы SPECTRA GELS";"С этой цепочкой анальные ласки всегда доставят вам удовольствие! Ведь она проникает в попку так деликатно, возбуждает так чувственно и скользит так комфортно.  Бусины удовольствия, соединенные в цепь, помогут вам получить порцию наслаждения, а также подготовить анус к проникновению кое-чего большего по габаритам.     Анальные бусы - 10 увеличивающихся шариков, крепко связанных между собой. Мягкая, гибкая цепочка из плотного упругого силикона. Длина цепочки - 27 см. Диаметр шариков 1,7 до 2,4 см. Расстояние между шариками 0,8 см. ";"Doc Johnson";0290-07-CD;1370.00;721.00;0;0;3;;;132;силикон;;блистер;196;http://feed.p5s.ru/images/small/0/small_128.jpg;http://feed.p5s.ru/images/big/0/128.jpg;http://feed.p5s.ru/images/big/0/128-1.jpg;http://feed.p5s.ru/images/big/0/128-2.jpg;;;782421423704
129;"Анальные игрушки";"Анальные пробки";"Гелевая анальная пробка розового цвета - 11,5 см.";"Маленькая розовая анальная пробочка. Упругая и тонкая. Идеально подходит начинающим ученикам анального секса для нежной разработки анального отверстия. Имеет ограничительное основание для безопасного использования. ";"Doc Johnson";0289-01-CD;1082.00;569.40;1;7;1;;розовый;133;"поливинилхлорид (ПВХ, PVC)";;блистер;;http://feed.p5s.ru/images/small/0/small_129.jpg;http://feed.p5s.ru/images/big/0/129.jpg;http://feed.p5s.ru/images/big/0/129-1.jpg;;;;782421124908
131;Вибраторы;Вибронаборы;"Набор анальных насадок с вибратором и анальной смазкой-спреем Kobe Tai Anal Adventure Kit";"Тайные мечты тайской красавицы - набор анальных насадок с вибратором и анальной смазкой-спреем.   Набор состоит из 7 предметов, в числе которых: гладкий вибратор, 2 насадки, гибкие и упругие анальные бусы, 2 анальные пробки, смазка на водной основе.  Этот набор поможет Вам не только развить и укрепить мышцы ануса, но и подарит восхитительный оргазм благодаря низкочастотной вибрации и разнообразию насадок. Гладкий вибратор: Длина - 17 см. Диаметр - 2,3 см.  Насадка короткая: Длина - 16 см. Диаметр - 3 - 3,5 см.  Насадка длинная: Длина - 18 см. Диаметр - 2,5 - 3 см.  Анальные бусы: Состоят из 10 шариков. Длина - 27 см. Диаметр - 2 - 2,5 см.  Анальная пробка прямая: Длина - 9 см. Диаметр - 1,5 - 2 см.  Гелевая анальная пробка изогнутая: Длина - 9 см. Диаметр - 2 - 2,5 см.  Смазка на водной основе. Флакон 50 мл.";"Doc Johnson";5525-05-BX;3865.00;1840.41;0;0;3;;;135;"пластик, латекс";"2 шт., тип AA";"пластиковая коробка";;http://feed.p5s.ru/images/small/0/small_131.jpg;http://feed.p5s.ru/images/big/0/131.jpg;http://feed.p5s.ru/images/big/0/131-1.jpg;;;;782421458607
141;"Секс-товары для мужчин";"Вакуумные помпы";"Вакуумный массажер-помпа для мужчин Seaman с силиконовой вставкой";"Эта помпа быстро-быстро приведет ваш пенис в состояние готовности номер один. Всё это благодаря рельефной силиконовой вставке. Вакуум вкупе с касаниями нежных шишечек – прекрасный стимул!  Чтобы начать использовать помпу, необходимо поместить пенис внутрь колбы. Сжимание груши за считанные секунды создаст вакуум.  Стоит отметить. Что чем чаще вы пользуетесь помпой, тем сильнее ваш пенис увеличивается в размерах! Длина колбы - 18,5 см. Внутренний диаметр 5 см.";Gopaldas;"99017 BX GP";2128.00;1182.31;1;94;2;;;145;"пластик, силикон";;"картонная коробка";353;http://feed.p5s.ru/images/small/0/small_141.jpg;http://feed.p5s.ru/images/big/0/141.jpg;http://feed.p5s.ru/images/big/0/141-1.jpg;;;;4890888991714
